491;869;53;1201;555;196
1219;1197;363;909;629;1614
1563;658;1023;1560;960;942
1797;1919;1346;235;1293;1052
35;1739;351;1630;753;400
100;1709;689;1969;687;375
838;547;736;901;1138;989
765;1344;1845;1083;68;722
1832;1636;1282;989;835;451
1843;622;1629;1603;393;1887
498;1382;1973;35;1773;1439
1350;1567;1272;1707;1954;1416
1012;1423;472;650;1302;1389
1459;65;119;361;1250;1580
1214;606;1390;1080;413;1169
962;266;363;1447;819;1318
491;869;53;1201;555;196
1955;824;1206;1405;1433;617
1532;727;843;410;339;963
1182;1082;480;1431;821;1860
714;782;313;266;666;1467
1583;1217;1042;1920;230;1013
976;1751;1592;899;485;597
415;1311;1479;1262;1376;1065
1329;1630;999;839;1570;1527
219;328;1064;593;39;655
14;1856;1552;700;135;590
1685;856;1504;1290;896;589
95;1817;1047;848;1852;142
1500;102;770;1714;793;1571
1317;391;1397;1748;801;1310
1077;1360;280;216;1100;1835
50;598;1766;981;1289;915
303;1606;1230;520;442;1123
98;1541;1443;6;1990;1271
941;192;1884;189;445;447
784;671;1164;1453;1877;634
1568;1802;42;1845;1934;533
1685;313;1950;289;1682;1489
436;1634;598;1109;323;405
283;513;552;40;19;1714
742;838;1512;737;515;1358
247;1612;118;966;391;1195
1634;1979;1451;1118;645;1794
1943;564;1537;1355;18;556
1632;763;993;1655;1138;248
490;482;1940;1462;584;1958
1523;249;744;1127;1290;1445
453;1906;633;541;1153;1477
983;588;1332;1690;190;1957
557;789;1859;250;1300;270
97;407;242;643;1588;136
892;1869;1211;1951;641;1673
1789;297;393;264;822;1802
355;1282;218;573;1072;1084
1362;1144;830;684;1706;900
221;1160;772;189;846;1632
92;1376;1241;667;1816;1542
1204;1275;1728;408;1972;588
1301;751;1203;1565;61;1171
887;412;1592;1519;496;1345
12;151;657;1920;1949;67
1989;232;1883;338;1929;1070
1418;846;1206;759;1609;202
1214;795;1962;1877;879;1196
1995;1760;1226;363;30;1383
1098;280;284;124;692;671
1034;816;1130;572;1639;1605
1664;1720;140;1256;1493;1835
1725;1;1984;261;382;177
1462;1358;360;1863;202;513
569;596;1287;1475;746;743
1453;1120;1652;424;1174;1434
300;141;1252;1332;91;1295
1854;1006;987;501;1275;467
202;636;1730;1388;1627;1692
1245;335;1490;148;539;1773
1264;1932;1779;1039;1854;740
1774;1233;882;345;352;1631
110;715;369;1942;681;567
627;277;1203;373;1353;1345
1690;278;506;1726;1986;7
1412;1673;484;858;988;76
822;1299;1530;29;1803;883
838;1746;1413;747;108;1018
217;66;1648;52;711;1760
1226;677;575;1405;184;1517
562;835;849;883;1270;1560
696;799;1388;1677;1517;1752
92;1674;432;1377;266;1717
1677;1419;65;1511;1305;1506
1729;1542;677;1554;615;393
1609;249;702;1017;586;936
1128;373;410;1519;1161;3
1183;1512;756;383;1185;709
1086;1869;1430;1835;1992;674
1365;114;195;1195;1233;851
158;1837;113;105;910;1099
1165;1413;8;1822;66;1580
1303;440;790;1005;1276;712
464;1788;315;1221;141;1467
1949;1262;355;1707;574;1357
808;1945;1756;960;382;934
262;761;1008;1877;1340;486
1392;1266;1471;44;1047;496
1822;1484;523;1387;862;1295
842;1649;701;1717;1335;1854
1139;1493;1453;420;962;1223
1274;133;1177;28;1564;743
1875;1583;750;757;497;94
1597;457;1183;1333;1667;727
1693;701;939;204;508;1584
1;1538;192;1846;1513;1653
440;1455;1760;1868;1304;1248
893;118;229;1726;976;1578
590;74;283;494;828;1780
1301;232;1623;1408;1049;1681
1282;1207;635;1668;1365;298
484;180;376;1666;1894;534
1466;216;563;1192;81;843
1269;841;1106;1893;784;1
1187;1807;842;613;1409;756
1308;1421;1482;1980;1681;542
905;238;314;1730;727;1402
687;1025;1164;1599;1558;1983
1834;903;1215;1290;1585;1270
747;896;370;1832;1975;320
571;1156;1472;1225;1147;1874
1690;796;1678;684;1266;270
1363;210;1875;403;143;240
1957;363;1962;1796;1976;1172
1567;1610;263;380;867;491
960;1272;58;1986;1531;462
1915;1304;1597;191;1151;774
51;1717;1195;1554;1302;274
387;454;1481;911;350;141
562;1985;479;1792;230;420
936;1619;816;471;710;939
1777;912;1774;969;31;516
899;681;1313;1078;1074;1520
895;510;1243;1021;165;420
1995;1071;1997;408;267;1382
909;1877;1938;1226;965;198
819;396;1647;1194;1087;462
662;151;361;1272;207;405
406;853;1636;1096;1105;1588
997;421;791;1834;806;532
1334;435;726;1425;577;390
452;562;864;158;1248;821
1702;1629;1236;466;1112;1460
1597;1166;607;1100;1585;1499
640;793;1413;1986;710;1518
594;241;1847;747;1807;792
1812;77;1990;590;675;694
566;988;280;1099;791;581
1647;145;388;1155;1411;106
1926;1294;218;1760;1232;225
157;1690;78;1673;743;352
1624;1334;5;251;558;714
440;299;786;1554;987;1593
1176;1731;1732;1908;635;1080
1724;575;652;1478;1057;1818
1454;806;308;143;335;1067
198;1421;1122;202;573;199
1056;1411;696;1334;359;195
1078;71;1382;1156;61;1953
874;72;1011;439;1991;683
484;1576;1100;380;1244;1885
1608;441;1148;1018;1560;339
397;1276;1384;477;1639;712
1311;707;1407;1275;1387;930
29;1943;1935;1335;1378;396
150;723;1449;641;1559;830
585;1272;1108;1969;1330;1583
1442;1413;1019;855;1568;1054
76;1024;963;1552;1979;900
1617;858;644;893;1657;1985
19;19;403;403;1061;1061
28;1377;1674;1168;434;923
1301;629;1374;614;183;1437
371;392;1369;1105;1277;1631
563;1365;1162;1689;481;216
237;1459;275;228;1377;1991
1920;908;1000;873;1800;700
995;1944;1146;1897;361;341
1600;329;1770;1518;264;174
271;175;878;1410;1086;1895
1549;1885;746;1104;442;1861
1972;1537;554;1899;1038;1296
1211;1941;1153;1903;1805;1206
257;1002;1930;1249;522;505
641;438;780;1620;1138;429
1589;1323;1369;931;995;561
1375;1578;1497;1323;949;1381
860;1107;1716;437;1368;642
12;845;507;111;1971;1233
607;30;190;288;228;410
1434;105;554;925;1495;1998
1654;413;847;785;1866;697
1377;114;1698;1627;1606;336
329;1153;29;1458;160;1449
1376;1895;1737;166;1049;1874
305;374;1065;20;1448;899
173;1364;94;1184;1630;788
59;9;1792;376;1699;35
412;1706;426;1678;1982;1188
1656;1330;1749;167;1062;1424
1235;312;1679;109;447;1029
29;1235;1958;1554;1132;1448
316;1506;1250;1612;1887;586
1649;74;1656;548;1732;1939
286;1469;853;1371;614;1784
28;942;527;928;1022;673
1906;1511;1125;95;782;1427
425;1196;1935;572;1303;740
117;127;154;937;1539;1553
127;320;528;22;1049;1941
753;779;1592;305;567;758
992;1805;921;1653;766;1610
885;880;1991;1687;533;931
464;1497;233;174;1374;695
271;954;590;625;235;1085
1129;1348;1515;1340;432;1757
1475;1653;930;831;244;215
1530;485;1632;18;269;227
1548;1518;850;965;1618;1231
1909;686;1673;131;1624;1821
1584;307;1453;1472;1125;1257
1494;1791;1058;1085;1185;369
799;1885;1784;1081;1001;1846
1718;34;1223;19;510;338
1431;1047;1479;1838;598;353
570;1444;1314;636;1704;1205
292;434;1671;478;1484;778
1897;324;387;853;354;1268
1587;994;1682;1171;1772;336
74;787;180;375;1668;1663
1144;370;1527;478;1369;129
245;620;701;1003;1448;1764
17;358;760;1818;129;923
1448;1919;1309;888;1929;1051
1056;1999;1461;1696;806;113
1248;402;653;1886;1794;721
1564;1181;1056;60;64;1490
1600;380;1283;531;1513;1491
1217;1352;1158;1333;1484;1145
579;1554;1921;539;1683;1329
87;1383;1049;1327;275;1248
804;1540;782;1318;475;655
814;723;505;1072;1407;1515
54;236;1486;308;1801;497
1931;472;614;656;211;947
558;599;1834;678;1306;476
910;1964;1158;1869;1033;923
357;874;905;36;972;1668
74;1247;1322;376;1655;1860
1980;693;497;1765;1642;1101
216;1567;1046;1086;1174;838
1869;191;1436;1585;451;1500
1508;1530;952;381;1106;671
396;1656;1116;1424;1617;261
1209;1049;1295;1007;1445;1000
1464;1250;1446;481;1273;1772
93;870;467;1449;176;62
734;1164;561;882;1523;436
131;1226;1051;75;820;540
1366;85;1457;1935;1039;948
402;213;564;1982;421;406
755;1904;1827;333;1930;461
1838;1675;1417;193;634;1300
1532;1699;1691;588;687;1928
1937;107;664;674;1157;1928
14;382;383;1461;1006;672
1649;1997;1861;1024;1317;779
691;1001;4;1567;1219;1357
1875;810;934;820;380;1634
1445;1077;447;1273;729;1207
928;1525;403;1310;431;890
268;5;1799;1863;933;888
651;1837;1333;1775;246;1888
195;733;541;937;407;1486
1260;535;1578;391;36;91
1595;697;1810;355;1032;434
1067;1283;578;1970;87;439
799;983;1078;1022;1916;992
